,median_abs_coef,median_perm_importance,presence_freq,coef_nonzero_given_present,pi_nonzero_freq,consensus_rank
core__t2__wavelet-HLL_glcm_Imc1,0.22481124752494375,0.0029415581744808984,1.0,1.0,0.6,175.0
core__t2__wavelet-LLH_glrlm_RunVariance,0.2283350790192477,0.0023146749874255134,1.0,0.8,0.7,177.0
core__t1ce__wavelet-HLL_glcm_MCC,0.18427507662350562,0.005204418698013486,1.0,0.9,0.5,182.0
core__t1__wavelet-HHH_glszm_SmallAreaEmphasis,0.19622009789513478,0.0042164443217286435,1.0,1.0,0.7,183.0
core__t2__log-sigma-3-0-mm-3D_firstorder_Skewness,0.21620427397687558,0.0026386543210766005,1.0,0.9,0.5,183.0
core__flair__log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.21221539862343514,0.003024552268113774,1.0,1.0,0.6,185.0
core__t2__wavelet-HHL_glszm_SmallAreaEmphasis,0.23287485554734044,0.0019114620351977185,1.0,0.9,0.7,185.0
core__t1__wavelet-LLH_firstorder_Kurtosis,0.2630708856790114,0.0011181056796882882,1.0,1.0,0.5,186.0
core__t2__log-sigma-3-0-mm-3D_glrlm_RunEntropy,0.25864833483556116,0.0011912865032482406,1.0,1.0,0.5,187.0
core__t2__log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.23022762338168845,0.001706262629271899,1.0,0.9,0.6,189.0
core__t2__wavelet-LLL_glcm_ClusterShade,0.24355257098193167,0.0013899977598287034,1.0,0.9,0.6,191.0
core__t1ce__wavelet-LHH_glcm_InverseVariance,0.14279444834261062,0.007303775482434242,1.0,0.8,0.7,192.0
core__flair__log-sigma-3-0-mm-3D_firstorder_90Percentile,0.18785374314096942,0.003520005895852545,0.4,1.0,0.5,193.0
core__t1ce__wavelet-HLH_firstorder_Median,0.21532278523913467,0.002016619095996212,1.0,1.0,0.6,193.0
core__flair__wavelet-LLL_firstorder_Minimum,0.28597445698278934,0.00071591709256623,1.0,1.0,0.6,193.0
core__flair__log-sigma-0-5-mm-3D_glcm_ClusterShade,0.19038267598106318,0.003238107302982147,1.0,1.0,0.9,195.0
core__t2__wavelet-LLH_ngtdm_Contrast,0.2618827825310385,0.0007515160131352583,1.0,1.0,0.6,196.0
core__flair__wavelet-HLL_firstorder_Median,0.09478716571069067,0.011132627569261503,0.5,1.0,1.0,197.0
core__flair__wavelet-LHL_glcm_Correlation,0.1700042846967915,0.004109424076632615,1.0,0.8,0.6,198.0
core__t1__wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.2345003125000759,0.0010083502224556467,1.0,1.0,0.6,201.0
core__t2__wavelet-LLL_firstorder_Minimum,0.141978898654244,0.005657036738909979,1.0,1.0,0.9,206.0
core__t2__wavelet-LHH_glcm_Imc2,0.1614270595253744,0.0036205734097681896,0.9,1.0,0.7777777777777778,206.0
core__t2__log-sigma-3-0-mm-3D_firstorder_90Percentile,0.16752328654570633,0.00333985176558599,1.0,1.0,0.6,207.0
core__t1__log-sigma-0-5-mm-3D_gldm_DependenceVariance,0.11526035666312964,0.0070391047806795505,0.5,0.8,0.8,209.0
core__t2__log-sigma-0-5-mm-3D_gldm_DependenceVariance,0.15916039255259185,0.004043509867733709,1.0,1.0,0.6,209.0
core__t1__wavelet-LHH_glcm_InverseVariance,0.18274448976999136,0.0021035866468451076,1.0,0.8,0.5,209.0
core__flair__wavelet-HLH_glszm_SmallAreaEmphasis,0.21371442762226428,0.0011711376306124482,1.0,1.0,0.5,212.0
core__t1__wavelet-LHL_glcm_Imc1,0.194885654149893,0.001695131169596164,1.0,1.0,0.5,213.0
core__flair__wavelet-HHH_glszm_SmallAreaEmphasis,0.2018483420721937,0.0012481301286204616,1.0,0.9,0.6,216.0
core__t1ce__wavelet-LLH_gldm_DependenceVariance,0.12709145472383349,0.004881761714610077,1.0,0.9,0.8,221.0
core__t2__log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.15425832418186233,0.002076795469289378,1.0,0.9,0.6,229.0
core__flair__wavelet-LLL_firstorder_Kurtosis,0.21259796115346172,0.0006238695745325867,1.0,0.8,0.5,229.0
core__t2__log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.16840882124324708,0.0014005765223248923,1.0,1.0,0.6,231.0
core__t1ce__wavelet-HHL_glcm_Imc1,0.16135212677961658,0.0014818577123110355,1.0,1.0,0.8,234.0
core__t1ce__wavelet-HLH_firstorder_Skewness,0.1311071183202433,0.0022548717661740724,1.0,1.0,0.7,237.0
core__t1ce__wavelet-HHL_glszm_ZoneEntropy,0.17210118053872586,0.0010330854506247534,1.0,1.0,0.7,238.0
core__t2__wavelet-LHH_firstorder_Kurtosis,0.17824437887599281,0.0010023298587247581,1.0,0.9,0.6,238.0
core__t1__original_glszm_SmallAreaLowGrayLevelEmphasis,0.14381222212806072,0.0019147602772725816,1.0,0.8,0.7,239.0
core__t1__log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.12052211779221096,0.002247942697218117,1.0,0.9,0.5,242.0
core__t1ce__wavelet-HHL_firstorder_Mean,0.16435037817996256,0.0010060073999773973,1.0,1.0,0.7,244.0
core__t2__wavelet-HLH_glcm_InverseVariance,0.12719409936526868,0.0020026690931207545,1.0,0.9,0.7,246.0
core__t2__log-sigma-1-0-mm-3D_glcm_Imc1,0.17302463714859867,0.00071191314112928,1.0,1.0,0.6,246.0
core__t1ce__wavelet-HHH_firstorder_Skewness,0.18755277694240466,0.0004106803628537981,0.7,1.0,0.7142857142857143,247.0
core__t1ce__wavelet-LHL_glszm_SmallAreaEmphasis,0.13943697025410648,0.001564666462228464,1.0,1.0,0.9,248.0
core__t1ce__wavelet-LLH_firstorder_Median,0.17519179905333768,0.0005525072728280029,1.0,1.0,0.6,250.0
core__t2__wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.18203470347626735,0.00033247318338053,1.0,0.9,0.6,253.0
core__t2__wavelet-HHL_firstorder_Mean,0.16015552866183835,0.0007042613708313595,1.0,1.0,0.6,256.0
core__t2__wavelet-LHL_glszm_SizeZoneNonUniformity,0.06509258072469884,0.005096501187311211,0.5,0.8,0.8,261.0
core__t2__log-sigma-0-5-mm-3D_glszm_SmallAreaEmphasis,0.0889620327080333,0.0021649513366063097,0.4,1.0,1.0,265.0
core__t2__wavelet-HLH_glszm_SmallAreaEmphasis,0.1477350311893091,0.0006702867394495742,1.0,0.9,0.5,265.0
core__t1__wavelet-HLH_glcm_Imc2,0.10604899030380535,0.0013141346630375448,1.0,0.9,0.7,268.0
core__t1__log-sigma-3-0-mm-3D_firstorder_Maximum,0.10121012263808513,0.0010342396777501095,1.0,0.8,0.6,276.0
core__t1ce__log-sigma-1-0-mm-3D_glcm_MCC,0.13117462817081355,0.00047119721261547565,1.0,0.9,0.5,277.0
core__flair__wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.15091613155725836,0.000155083257082948,1.0,0.8,0.5,278.0
