,median_abs_coef,median_perm_importance,presence_freq,coef_nonzero_given_present,pi_nonzero_freq,consensus_rank
core__t2__wavelet-LLH_glcm_Imc2,0.0,-1.1102230246251565e-16,1.0,0.1,0.0,772.5
core__t2__wavelet-LLH_glcm_MCC,0.0,-1.1102230246251565e-16,1.0,0.1,0.0,772.5
core__t2__wavelet-LLL_glcm_Imc1,0.0,-1.1102230246251565e-16,1.0,0.4,0.1,772.5
core__t2__wavelet-LLL_glszm_ZoneVariance,0.0,-1.1102230246251565e-16,0.2,0.0,0.0,772.5
core__t1ce__wavelet-LHH_glszm_ZoneEntropy,0.0,-1.1102230246251565e-16,0.4,0.0,0.0,772.5
core__t2__wavelet-HHH_glcm_Imc2,0.0,-1.1102230246251565e-16,0.4,0.0,0.0,772.5
core__t2__wavelet-HHH_glszm_SmallAreaEmphasis,0.0,-1.1102230246251565e-16,0.4,0.25,0.0,772.5
core__t1__log-sigma-3-0-mm-3D_ngtdm_Contrast,0.0,-1.1102230246251565e-16,0.2,0.0,0.0,772.5
core__t2__wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.0,-1.1102230246251565e-16,0.4,0.25,0.0,772.5
core__flair__log-sigma-3-0-mm-3D_gldm_DependenceVariance,0.0,-2.220446049250313e-16,1.0,0.2,0.0,838.0
core__flair__wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.0,-2.220446049250313e-16,1.0,0.4,0.1,838.0
core__flair__wavelet-HLL_glcm_InverseVariance,0.0,-2.220446049250313e-16,1.0,0.3,0.1,838.0
core__flair__wavelet-LHL_glcm_MCC,0.0,-2.220446049250313e-16,1.0,0.4,0.2,838.0
core__flair__wavelet-LLL_ngtdm_Strength,0.0,-2.220446049250313e-16,0.7,0.0,0.0,838.0
core__t1__log-sigma-3-0-mm-3D_gldm_DependenceVariance,0.0,-2.220446049250313e-16,1.0,0.4,0.0,838.0
core__t1__wavelet-HHH_firstorder_Skewness,0.0,-2.220446049250313e-16,1.0,0.2,0.0,838.0
core__t1__wavelet-HHH_glcm_MaximumProbability,0.0,-2.220446049250313e-16,1.0,0.3,0.0,838.0
core__t1__wavelet-HHL_glszm_SmallAreaEmphasis,0.0,-2.220446049250313e-16,1.0,0.2,0.0,838.0
core__t1__wavelet-HHL_ngtdm_Strength,0.0,-2.220446049250313e-16,0.9,0.4444444444444444,0.2222222222222222,838.0
core__t1__wavelet-HLL_glcm_ClusterShade,0.0,-2.220446049250313e-16,0.9,0.3333333333333333,0.0,838.0
core__t1__wavelet-LLH_firstorder_Median,0.0,-2.220446049250313e-16,1.0,0.3,0.0,838.0
core__t1__wavelet-LLH_glcm_MCC,0.0,-2.220446049250313e-16,1.0,0.4,0.2,838.0
core__t1__wavelet-LLL_glcm_MCC,0.0,-2.220446049250313e-16,1.0,0.4,0.1,838.0
core__t1__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.0,-2.220446049250313e-16,1.0,0.4,0.1,838.0
core__t1ce__wavelet-HHH_firstorder_Mean,0.0,-2.220446049250313e-16,1.0,0.4,0.1,838.0
core__t1ce__wavelet-HLL_ngtdm_Strength,0.0,-2.220446049250313e-16,1.0,0.3,0.1,838.0
core__t1ce__wavelet-LHH_ngtdm_Contrast,0.0,-2.220446049250313e-16,1.0,0.3,0.0,838.0
core__t1ce__wavelet-LHL_firstorder_Mean,0.0,-2.220446049250313e-16,1.0,0.3,0.1,838.0
core__t1ce__wavelet-LHL_glcm_MCC,0.0,-2.220446049250313e-16,1.0,0.3,0.0,838.0
core__t1ce__wavelet-LHL_ngtdm_Complexity,0.0,-2.220446049250313e-16,1.0,0.4,0.1,838.0
core__t2__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.0,-2.220446049250313e-16,1.0,0.2,0.0,838.0
core__t2__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,0.0,-2.220446049250313e-16,1.0,0.3,0.0,838.0
core__t2__log-sigma-3-0-mm-3D_ngtdm_Contrast,0.0,-2.220446049250313e-16,1.0,0.3,0.1,838.0
core__t2__wavelet-HHH_glcm_MaximumProbability,0.0,-2.220446049250313e-16,1.0,0.2,0.0,838.0
core__t2__wavelet-HHL_glcm_MCC,0.0,-2.220446049250313e-16,1.0,0.3,0.0,838.0
core__t2__wavelet-LLH_firstorder_Skewness,0.0,-2.220446049250313e-16,1.0,0.4,0.1,838.0
core__t2__wavelet-LLH_glcm_ClusterShade,0.0,-2.220446049250313e-16,1.0,0.4,0.1,838.0
core__t2__wavelet-LLL_glszm_ZoneEntropy,0.0,-2.220446049250313e-16,1.0,0.3,0.0,838.0
core__t1__wavelet-LHH_firstorder_Kurtosis,0.0,-2.220446049250313e-16,0.5,0.2,0.0,838.0
core__t1__wavelet-LLL_glcm_InverseVariance,0.0,-2.220446049250313e-16,0.8,0.25,0.0,838.0
core__t1ce__wavelet-LLH_glcm_Imc1,0.0,-2.220446049250313e-16,0.6,0.16666666666666666,0.0,838.0
core__t1ce__log-sigma-3-0-mm-3D_glcm_Imc1,0.0,-2.220446049250313e-16,0.7,0.14285714285714285,0.0,838.0
core__t1ce__wavelet-LHH_glcm_Correlation,0.0,-2.220446049250313e-16,0.3,0.0,0.0,838.0
core__t2__log-sigma-1-0-mm-3D_glcm_MCC,0.0,-8.881784197001252e-16,0.4,0.25,0.0,859.5
core__t1ce__wavelet-HLH_glszm_SmallAreaEmphasis,0.0,-9.992007221626409e-16,1.0,0.4,0.0,865.0
core__t2__original_glszm_SmallAreaEmphasis,0.0,-9.992007221626409e-16,1.0,0.4,0.0,865.0
core__t2__original_shape_Flatness,0.0,-9.992007221626409e-16,1.0,0.4,0.0,865.0
core__t2__wavelet-LHL_glcm_ClusterShade,0.0,-9.992007221626409e-16,1.0,0.4,0.0,865.0
core__t2__wavelet-LHH_glrlm_ShortRunEmphasis,0.0,-1.7763568394002505e-15,0.1,0.0,0.0,870.5
